time,pos.x,pos.y,pos.z,rot.x,rot.y,rot.z
106.4897,2.645593,1.647911,7.138118,0.7689301,0.1436552,-0.6229847
106.5191,2.645717,1.647953,7.137994,0.7690575,0.1437311,-0.6228098
106.5344,2.645869,1.648046,7.13768,0.7690797,0.1437438,-0.6227793
106.5513,2.645897,1.648077,7.137725,0.7692752,0.143802,-0.6225244
106.5729,2.645986,1.648068,7.137698,0.76947,0.1434145,-0.6223732
106.5949,2.645956,1.648022,7.137308,0.769761,0.142391,-0.6222481
106.6175,2.645869,1.647865,7.137303,0.7701856,0.1414248,-0.6219432
106.6401,2.645932,1.647804,7.13705,0.7702231,0.1408656,-0.6220235
106.6624,2.64608,1.647721,7.13651,0.7702815,0.140037,-0.6221383
106.6846,2.646069,1.647663,7.135777,0.7705194,0.137924,-0.6223158
106.7074,2.645921,1.647542,7.134739,0.7707646,0.1346756,-0.6227233
106.7288,2.645704,1.64739,7.134064,0.7690175,0.1315884,-0.625537
106.7512,2.645714,1.647368,7.133045,0.7655906,0.129824,-0.6300927
106.7728,2.645924,1.647402,7.131718,0.7626483,0.1292811,-0.6337617
106.795,2.646284,1.647214,7.130061,0.7605546,0.1287466,-0.6363813
106.8171,2.646915,1.646894,7.128057,0.7584131,0.1268995,-0.6393017
106.8396,2.6478,1.646458,7.125987,0.7562323,0.1251616,-0.6422206
106.8616,2.648922,1.645956,7.123604,0.754504,0.1226917,-0.644725
106.884,2.650308,1.645406,7.121038,0.7532554,0.1184986,-0.6469656
106.9065,2.651968,1.644853,7.117959,0.7524843,0.1120395,-0.6490106
106.9288,2.653694,1.644298,7.114648,0.7511171,0.1056583,-0.6516591
106.9507,2.65553,1.643652,7.111229,0.7507206,0.09972975,-0.6530487
106.9732,2.657572,1.643122,7.10761,0.7515792,0.094049,-0.6529037
106.9949,2.65993,1.642676,7.103607,0.7530091,0.08973306,-0.6518634
107.0173,2.662726,1.642234,7.099304,0.7560596,0.0865338,-0.6487573
107.0395,2.665624,1.641649,7.094748,0.7589961,0.08433952,-0.6456099
107.0617,2.668343,1.640778,7.090712,0.7608032,0.08123478,-0.6438783
107.0837,2.671461,1.639895,7.086623,0.7630388,0.07891504,-0.6415173
107.1061,2.674871,1.638654,7.082255,0.7663351,0.07617708,-0.6379085
107.1286,2.678407,1.637301,7.077448,0.7692137,0.07286511,-0.6348239
107.1507,2.682187,1.63582,7.072434,0.7707886,0.0700912,-0.6332237
107.1728,2.686348,1.63431,7.067088,0.7730502,0.06810802,-0.6306779
107.1948,2.690745,1.632541,7.061314,0.7758351,0.06385347,-0.6276965
107.2171,2.695373,1.630402,7.055244,0.7777808,0.05684235,-0.6259602
107.2394,2.700475,1.628739,7.048305,0.778649,0.05092179,-0.6253901
107.2616,2.705459,1.626796,7.041662,0.7792751,0.04484621,-0.6250755
107.284,2.71086,1.62516,7.035266,0.7811359,0.03864957,-0.6231636
107.3062,2.716204,1.624535,7.029869,0.7822774,0.03616861,-0.6218793
107.3193,2.719919,1.623677,7.024428,0.7837647,0.03077403,-0.6202949
107.3395,2.725007,1.623091,7.0176,0.7836378,0.02307002,-0.6207894
107.3624,2.730494,1.622472,7.010117,0.7826828,0.01508471,-0.6222382
107.3836,2.735564,1.622177,7.002929,0.781624,0.01229683,-0.6236292
107.4062,2.740859,1.622073,6.995252,0.7809818,0.01221878,-0.6244344
107.4285,2.745875,1.621851,6.98766,0.779349,0.01360778,-0.6264423
107.4506,2.750753,1.622036,6.980137,0.7776078,0.01669662,-0.6285282
107.4729,2.75579,1.622272,6.972519,0.7757109,0.021539,-0.6307208
107.4955,2.761069,1.622605,6.964447,0.7737269,0.02785667,-0.6329065
107.5183,2.76621,1.622491,6.956616,0.7716027,0.03088498,-0.6353548
107.5397,2.771138,1.622075,6.94918,0.7701652,0.0313597,-0.6370735
107.5615,2.77628,1.621401,6.941474,0.7703955,0.03026398,-0.6368479
107.5838,2.781797,1.620595,6.933424,0.7705685,0.02937544,-0.6366799
107.6059,2.787461,1.619803,6.924461,0.7696305,0.0269882,-0.6379188
107.6281,2.793175,1.618742,6.915762,0.7686932,0.02415072,-0.6391618
107.6509,2.799216,1.617486,6.906745,0.7683796,0.02008209,-0.6396796
107.6727,2.805084,1.616038,6.897766,0.7682548,0.01500241,-0.6399689
107.695,2.811177,1.614668,6.888363,0.7683607,0.01056834,-0.6399298
107.7169,2.817394,1.61345,6.878721,0.7680659,0.008410805,-0.6403158
107.739,2.824108,1.612495,6.868485,0.7679963,0.01029084,-0.6403715
107.7614,2.831287,1.61157,6.857602,0.7668369,0.01233226,-0.6417234
107.7838,2.838827,1.61041,6.8462,0.7652267,0.01353086,-0.6436189
