time,rot.x,rot.y,rot.z
25.34291,0,0,0
25.35556,0,0,0
25.36667,0,0,0
25.37778,0,0,0
25.38889,0,0,0
25.4,0,0,0
25.4,0,0,0
25.41111,0,0,0
25.42222,0,0,0
25.43333,0,0,0
25.44444,0,0,0
25.45556,0,0,0
25.46667,0,0,0
25.47778,0,0,0
25.48889,0,0,0
25.49263,0,0,0
25.5,0,0,0
25.51111,0,0,0
25.52222,0,0,0
25.53333,0,0,0
25.54445,0,0,0
25.55556,0,0,0
25.56061,0,0,0
25.57778,0,0,0
25.58342,0,0,0
25.6,0,0,0
25.60532,0,0,0
25.61111,0,0,0
25.62222,0,0,0
25.63333,0,0,0
25.64445,0,0,0
25.65556,0,0,0
25.66667,0,0,0
25.67083,0,0,0
25.68889,0,0,0
25.69297,0,0,0
25.7,0,0,0
25.71111,0,0,0
25.72222,0,0,0
25.73333,0,0,0
25.74445,0,0,0
25.75556,0,0,0
25.76667,0,0,0
25.77778,0,0,0
25.78889,0,0,0
25.79952,0,0,0
25.8,0,0,0
25.81111,0,0,0
25.82104,0,0,0
25.83333,0,0,0
25.84262,0,0,0
25.85556,0,0,0
25.86213,0,0,0
25.87778,0,0,0
25.88486,0,0,0
25.9,0,0,0
25.90696,0,0,0
25.91111,0,0,0
25.92222,0,0,0
25.93104,0,0,0
25.94444,0,0,0
25.95432,0,0,0
25.96667,0,0,0
25.97485,0,0,0
25.98889,0,0,0
25.99556,0,0,0
26,0,0,0
26.01111,0,0,0
26.02222,0,0,0
26.03333,0,0,0
26.04445,0,0,0
26.05556,0,0,0
26.06667,0,0,0
26.07778,0,0,0
26.08017,0,0,0
26.1,0,0,0
26.1028,0,0,0
26.11111,0,0,0
26.12222,0,0,0
26.13333,0,0,0
26.14445,0,0,0
26.15556,0,0,0
26.16667,0,0,0
26.17778,0,0,0
26.18801,0,0,0
26.2,0,0,0
26.21111,0,0,0
26.21146,0,0,0
26.22222,0,0,0
26.23191,0,0,0
26.24445,0,0,0
26.2528,0,0,0
26.26667,0,0,0
26.27272,0,0,0
26.28889,0,0,0
26.29413,0,0,0
26.3,0,0,0
26.31111,0,0,0
26.32222,0,0,0
26.33333,0,0,0
26.34444,0,0,0
26.35556,0,0,0
26.36667,0,0,0
26.37778,0,0,0
26.38889,0,0,0
26.4,0,0,0
26.40189,0,0,0
26.41111,0,0,0
26.42222,0,0,0
26.43333,0,0,0
26.44444,0,0,0
26.45556,0,0,0
26.46667,0,0,0
26.47778,0,0,0
26.48889,0,0,0
26.49217,0,0,0
26.5,0,0,0
26.51111,0,0,0
26.52222,0,0,0
26.53333,0,0,0
26.54445,0,0,0
26.55474,0,0,0
26.56667,0,0,0
26.57638,0,0,0
26.58889,0,0,0
26.6,0,0,0
26.60142,0,0,0
26.61111,0,0,0
26.62222,0,0,0
26.63333,0,0,0
26.64445,0,0,0
26.65556,0,0,0
26.66667,0,0,0
26.67778,0,0,0
26.68889,0,0,0
26.69012,0,0,0
26.7,0,0,0
26.71111,0,0,0
26.72222,0,0,0
26.73333,0,0,0
26.74445,0,0,0
26.75556,0,0,0
26.76667,0,0,0
26.77778,0,0,0
26.78085,0,0,0
26.8,0,0,0
26.80227,0,0,0
26.81111,0,0,0
26.82222,0,0,0
26.83333,0,0,0
26.84444,0,0,0
26.85556,0,0,0
26.86667,0,0,0
26.8707,0,0,0
26.88889,0,0,0
26.89355,0,0,0
26.9,0,0,0
26.91111,0,0,0
26.92222,0,0,0
26.93333,0,0,0
26.94444,0,0,0
26.95556,0,0,0
26.96046,0,0,0
26.97778,0,0,0
26.98222,0,0,0
27,0,0,0
27.00423,0,0,0
27.01111,0,0,0
27.02222,0,0,0
27.03333,0,0,0
27.04445,0,0,0
27.05556,0,0,0
27.06667,0,0,0
27.0713,0,0,0
27.08889,0,0,0
27.09429,0,0,0
27.1,0,0,0
27.11111,0,0,0
27.12222,0,0,0
27.13333,0,0,0
27.14445,0,0,0
27.15556,0,0,0
27.16667,0,0,0
27.17778,0,0,0
27.18044,0,0,0
27.2,0,0,0
27.20314,0,0,0
27.21111,0,0,0
27.22222,0,0,0
27.23333,0,0,0
27.24445,0,0,0
27.25556,0,0,0
27.26667,0,0,0
27.27778,0,0,0
27.28889,0,0,0
27.29088,0,0,0
27.3,0,0,0
27.3109,0,0,0
27.32222,0,0,0
27.3321,0,0,0
27.34444,0,0,0
27.35422,0,0,0
27.36667,0,0,0
27.37778,0,0,0
27.38889,0,0,0
27.4,0,0,0
27.41111,0,0,0
27.42222,0,0,0
27.4272,0,0,0
27.43333,0,0,0
27.44444,0,0,0
27.45389,0,0,0
27.46667,0,0,0
27.47551,0,0,0
27.48889,0,0,0
27.49678,0,0,0
27.5,0,0,0
27.51111,0,0,0
27.5203,0,0,0
27.53333,0,0,0
27.54234,0,0,0
27.55556,0,0,0
27.56368,0,0,0
27.57778,0,0,0
27.58811,0,0,0
27.6,0,0,0
27.61111,0,0,0
27.61901,0,0,0
27.62222,0,0,0
27.63333,0,0,0
27.6419,0,0,0
27.65556,0,0,0
27.66487,0,0,0
27.67778,0,0,0
27.68738,0,0,0
27.7,0,0,0
27.70972,0,0,0
27.71111,0,0,0
27.72222,0,0,0
27.73122,0,0,0
27.74445,0,0,0
27.75349,0,0,0
27.76667,0,0,0
27.77778,0,0,0
27.78889,0,0,0
27.8,0,0,0
27.80076,0,0,0
27.81111,0,0,0
27.82222,0,0,0
27.83333,0,0,0
27.84444,0,0,0
27.85556,0,0,0
27.86667,0,0,0
27.87109,0,0,0
27.88889,0,0,0
27.89444,0,0,0
27.9,0,0,0
27.91111,0,0,0
27.92222,0,0,0
27.93333,0,0,0
27.94444,0,0,0
27.95556,0,0,0
27.96049,0,0,0
27.97778,0,0,0
27.9833,0,0,0
28,0,0,0
28.00572,0,0,0
28.01111,0,0,0
28.02222,0,0,0
28.03333,0,0,0
28.04445,0,0,0
28.05556,0,0,0
28.06667,0,0,0
28.07055,0,0,0
28.08889,0,0,0
28.09243,0,0,0
28.1,0,0,0
28.11111,0,0,0
28.12222,0,0,0
28.13333,0,0,0
28.14445,0,0,0
28.15556,0,0,0
28.16667,0,0,0
28.17778,0,0,0
28.18889,0,0,0
28.2,0,0,0
28.20088,0,0,0
28.21111,0,0,0
28.22091,0,0,0
28.23333,0,0,0
28.24134,0,0,0
28.25556,0,0,0
28.26434,0,0,0
28.27778,0,0,0
28.28641,0,0,0
28.3,0,0,0
28.30992,0,0,0
28.31111,0,0,0
28.32222,0,0,0
28.33144,0,0,0
28.34444,0,0,0
28.35316,0,0,0
28.36667,0,0,0
28.37588,0,0,0
28.38889,0,0,0
28.39837,0,0,0
28.4,0,0,0
28.41111,0,0,0
28.42066,0,0,0
28.43333,0,0,0
28.44308,0,0,0
28.45556,0,0,0
