time,pos.x,pos.y,pos.z,rot.x,rot.y,rot.z
120.4034,8.682982,1.059999,6.75034,0,178.664,0
120.443,8.683345,1.060001,6.720568,0,179.3026,0
120.4597,8.683481,1.059999,6.707395,0,179.4072,0
120.4794,8.683604,1.059999,6.690891,0,179.5717,0
120.4958,8.683698,1.06,6.676253,0,179.6359,0
120.5131,8.683773,1.059999,6.659836,0,179.7369,0
120.5349,8.683849,1.059999,6.636872,0,179.8099,0
120.5507,8.683891,1.06,6.61939,0,179.8626,0
120.5679,8.683926,1.059999,6.599275,0,179.9007,0
120.5837,8.683954,1.059999,6.580117,0,179.9156,0
120.6017,8.683974,1.059999,6.557443,0,179.9482,0
120.6171,8.68399,1.059999,6.537647,0,179.9559,0
120.6345,8.684003,1.059999,6.514817,0,179.9681,0
120.6511,8.684012,1.059999,6.492866,0,179.9729,0
120.6688,8.684021,1.059999,6.469194,0,179.9804,0
120.6848,8.684027,1.059999,6.447518,0,179.9834,0
120.7012,8.684031,1.059999,6.424954,0,179.988,0
120.7159,8.684035,1.059999,6.40451,0,179.9913,0
120.734,8.684038,1.059999,6.379036,0,179.9926,0
120.7484,8.68404,1.059999,6.358502,0,179.9946,0
120.7677,8.684043,1.059999,6.33058,0,179.9954,0
120.7824,8.684044,1.059999,6.309221,0,179.9967,0
120.8012,8.68425,1.059999,6.281317,0,179.5757,0
120.8163,8.68456,1.06,6.258672,0,179.2175,0
120.8346,8.68521,1.059999,6.230973,0,178.6541,0
120.8496,8.685834,1.06,6.208172,0,178.4341,0
120.868,8.686855,1.059999,6.179591,0,177.9531,0
120.8831,8.687751,1.06,6.155859,0,177.8382,0
120.9014,8.688937,1.059999,6.126862,0,177.6576,0
120.9175,8.69022,1.06,6.100957,0,177.1652,0
120.9348,8.691998,1.059999,6.072754,0,176.3909,0
120.9505,8.693887,1.06,6.046854,0,175.8315,0
120.969,8.696613,1.059999,6.015652,0,175.0054,0
120.9849,8.699211,1.06,5.988728,0,174.489,0
