time,pos.x,pos.y,pos.z,rot.x,rot.y,rot.z
193.7028,56.54985,10.54201,15.26469,5.361963,-2.924408,-0.01873779
193.7896,56.4341,10.54983,15.2794,7.614964,-0.9710388,-0.01681519
193.8535,56.33869,10.54556,15.29093,8.676698,2.559571,-0.1143799
193.9209,56.22541,10.54846,15.29813,5.96512,2.053596,-0.09484863
193.9839,56.12239,10.55088,15.30035,5.702703,1.554834,-0.06982422
194.0466,56.02437,10.55144,15.30119,7.82151,0.3423181,-0.005446482
194.1068,55.93332,10.54992,15.30021,10.8519,-0.07296753,0.002356181
194.1669,55.84841,10.5486,15.30044,11.44045,-0.6583862,-0.001397554
194.2293,55.76757,10.54472,15.29673,10.62001,-1.618378,0.009210298
194.2928,55.69462,10.53959,15.29206,12.44382,-2.054443,0.02311027
194.3513,55.6301,10.53701,15.2875,13.03069,-2.234833,-0.02304077
194.412,55.561,10.5345,15.28979,14.13071,-6.188141,0.06058107
194.4736,55.47966,10.53488,15.2926,10.35056,-6.630493,0.3188417
194.5345,55.38686,10.53378,15.30287,3.977883,-4.224854,0.4153881
194.5918,55.28421,10.53708,15.32082,3.129539,-4.28009,0.4355345
194.6494,55.1702,10.54127,15.34199,2.938347,-1.664185,0.1267906
194.7084,55.05979,10.54717,15.36504,7.40542,-4.718231,0.2558925
194.7702,54.95548,10.54864,15.38731,10.38894,-4.979248,0.1115984
194.8309,54.86177,10.54709,15.40635,12.13687,-5.607086,0.06484968
194.8901,54.77414,10.54372,15.42587,14.7585,-4.858429,0.008506432
194.9463,54.69739,10.54186,15.44669,16.1606,-2.36731,-0.04669189
195.0037,54.62905,10.54074,15.46226,12.48277,-3.818298,0.09418804
195.0613,54.56574,10.54211,15.48007,12.06587,-2.987335,0.05572694
195.1205,54.50026,10.54599,15.49041,12.02235,-2.326172,0.01050477
195.1774,54.43401,10.5495,15.50185,8.923334,-0.003701619,-0.009979248
195.2401,54.34985,10.54733,15.5109,6.100937,0.801564,-0.05084229
195.2977,54.2575,10.54896,15.51789,6.523355,-1.441895,0.1057622
195.354,54.16427,10.55049,15.52334,8.343225,-5.634949,0.3469968
195.4129,54.06752,10.5508,15.52959,9.018647,-4.061432,0.2255407
195.4736,53.97197,10.55047,15.53713,8.854665,-4.183838,0.1828785
195.532,53.88317,10.54976,15.54321,11.47499,-4.344116,0.09785538
195.586,53.80788,10.54803,15.54898,12.99386,-5.027588,0.07933458
195.645,53.73257,10.54268,15.5522,12.98734,-6.880524,0.2930878
195.7015,53.6706,10.53764,15.55377,9.949235,-7.416473,0.5184846
195.7569,53.61271,10.53709,15.56026,9.060947,-6.797699,0.4381932
195.8153,53.54717,10.53831,15.56589,9.23305,-6.480896,0.4385186
195.8733,53.47202,10.53748,15.57977,6.889692,-6.011993,0.5473652
195.9319,53.38108,10.5348,15.59877,4.358526,-4.232361,0.4523449
